MCC/MNC,Ext.,Name,username,password,Number,APN,Auth Mode,DNS1,DNS2
405909,,Idea Internet,,,*99#,internet,2,,
405908,,Idea Internet,,,*99#,internet,2,,
405886,,S Tel E Life,,,*99#,gprs.stel.in,2,,
405885,,S Tel E Life,,,*99#,gprs.stel.in,2,,
405884,,S Tel E Life,,,*99#,gprs.stel.in,2,,
405883,,S Tel E Life,,,*99#,gprs.stel.in,2,,
405882,,S Tel E Life,,,*99#,gprs.stel.in,2,,
405881,,S Tel E Life,,,*99#,gprs.stel.in,2,,
405880,,UNINOR Internet,,,*99#,uninor,2,,
405879,,UNINOR Internet,,,*99#,uninor,2,,
405878,,UNINOR Internet,,,*99#,uninor,2,,
405877,,UNINOR Internet,,,*99#,uninor,2,,
405876,,UNINOR Internet,,,*99#,uninor,2,,
405875,,UNINOR Internet,,,*99#,uninor,2,,
405874,,Loop Internet,,,*99#,www,1,,
405873,,Loop Internet,,,*99#,www,1,,
405872,,Loop Internet,,,*99#,www,1,,
405871,,Loop Internet,,,*99#,www,1,,
405870,,Loop Internet,,,*99#,www,1,,
405869,,Loop Internet,,,*99#,www,1,,
405868,,Loop Internet,,,*99#,www,1,,
405867,,Loop Internet,,,*99#,www,1,,
405866,,Loop Internet,,,*99#,www,1,,
405865,,Loop Internet,,,*99#,www,1,,
405864,,Loop Internet,,,*99#,www,1,,
405863,,Loop Internet,,,*99#,www,1,,
405862,,Loop Internet,,,*99#,www,1,,
405861,,Loop Internet,,,*99#,www,1,,
405860,,Loop Internet,,,*99#,www,1,,
405859,,Loop Internet,,,*99#,www,1,,
405858,,Loop Internet,,,*99#,www,1,,
405857,,Loop Internet,,,*99#,www,1,,
405856,,Loop Internet,,,*99#,www,1,,
405855,,Loop Internet,,,*99#,www,1,,
405854,,Loop Internet,,,*99#,www,1,,
405853,,Idea Internet,,,*99#,internet,2,,
405852,,Idea Internet,,,*99#,internet,2,,
405851,,Idea Internet,,,*99#,internet,2,,
405850,,Idea Internet,,,*99#,internet,2,,
405849,,Idea Internet,,,*99#,internet,2,,
405848,,Idea Internet,,,*99#,internet,2,,
405847,,Idea Internet,,,*99#,internet,2,,
405846,,Idea Internet,,,*99#,internet,2,,
405845,,Idea Internet,,,*99#,internet,2,,
405844,,UNINOR Internet,,,*99#,uninor,2,,
405843,,Videocon Internet,,,*99#,vinternet.com,2,,
405842,,Videocon Internet,,,*99#,vinternet.com,2,,
405841,,Videocon Internet,,,*99#,vinternet.com,2,,
405840,,Videocon Internet,,,*99#,vinternet.com,2,,
405839,,Videocon Internet,,,*99#,vinternet.com,2,,
405838,,Videocon Internet,,,*99#,vinternet.com,2,,
405837,,Videocon Internet,,,*99#,vinternet.com,2,,
405836,,Videocon Internet,,,*99#,vinternet.com,2,,
405835,,Videocon Internet,,,*99#,vinternet.com,2,,
405834,,Videocon Internet,,,*99#,vinternet.com,2,,
405833,,Videocon Internet,,,*99#,vinternet.com,2,,
405832,,Videocon Internet,,,*99#,vinternet.com,2,,
405831,,Videocon Internet,,,*99#,vinternet.com,2,,
405830,,Videocon Internet,,,*99#,vinternet.com,2,,
405829,,Videocon Internet,,,*99#,vinternet.com,2,,
405828,,Videocon Internet,,,*99#,vinternet.com,2,,
405827,,Videocon Internet,,,*99#,vinternet.com,2,,
405826,,Videocon Internet,,,*99#,vinternet.com,2,,
405825,,Videocon Internet,,,*99#,vinternet.com,2,,
405824,,Videocon Internet,,,*99#,vinternet.com,2,,
405823,,Videocon Internet,,,*99#,vinternet.com,2,,
405822,,UNINOR Internet,,,*99#,uninor,2,,
405821,,UNINOR Internet,,,*99#,uninor,2,,
405820,,UNINOR Internet,,,*99#,uninor,2,,
405819,,UNINOR Internet,,,*99#,uninor,2,,
405818,,UNINOR Internet,,,*99#,uninor,2,,
405817,,UNINOR Internet,,,*99#,uninor,2,,
405816,,UNINOR Internet,,,*99#,uninor,2,,
405815,,UNINOR Internet,,,*99#,uninor,2,,
405814,,UNINOR Internet,,,*99#,uninor,2,,
405813,,UNINOR Internet,,,*99#,uninor,2,,
405812,,Aircel Online,,,*99#,aircelgprs,2,,
405811,,Aircel Online,,,*99#,aircelgprs,2,,
405810,,Aircel Online,,,*99#,aircelgprs,2,,
405809,,Aircel Online,,,*99#,aircelgprs,2,,
405808,,Aircel Online,,,*99#,aircelgprs,2,,
405807,,Aircel Online,,,*99#,aircelgprs,2,,
405806,,Aircel Online,,,*99#,aircelgprs,2,,
405805,,Aircel Online,,,*99#,aircelgprs,2,,
405804,,Aircel Online,,,*99#,aircelgprs,2,,
405803,,Aircel Online,,,*99#,aircelgprs,2,,
405802,,Aircel Online,,,*99#,aircelgprs,2,,
405801,,Aircel Online,,,*99#,aircelgprs,2,,
405800,,Aircel Online,,,*99#,aircelgprs,2,,
405799,,Idea Internet,,,*99#,internet,2,,
405756,,Vodafone Connect,,,*99#,www,2,,
405755,,Vodafone Connect,,,*99#,www,2,,
405754,,Vodafone Connect,,,*99#,www,2,,
405753,,Vodafone Connect,,,*99#,www,2,,
405752,,Vodafone Connect,,,*99#,www,2,,
405751,,Vodafone Connect,,,*99#,www,2,,
405750,,Vodafone Connect,,,*99#,www,2,,
405047,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405047,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405046,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405046,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405045,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405045,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405044,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405044,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405043,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405043,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405042,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405042,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405041,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405041,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405040,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405040,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405039,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405039,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405038,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405038,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405037,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405037,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405036,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405036,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405035,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405035,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405034,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405034,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405033,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405033,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405032,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405032,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405031,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405031,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405030,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405030,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405029,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405029,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405028,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405028,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405027,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405027,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405026,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405026,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405025,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405025,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
376350,,Lime Prepaid Internet,,,*99#,ppinternet,0,,
374130,,DIGICEL INTERNET,,,*99#,web,0,,
374120,,Lime Prepaid Internet,,,*99#,ppinternet,0,,
372010,,DIGICEL,,,*99#,web,0,,
366110,,Lime Prepaid Internet,,,*99#,ppinternet,0,,
365840,,Lime Prepaid Internet,,,*99#,ppinternet,0,,
364390,,Lime Prepaid Internet,,,*99#,ppinternet,0,,
363020,,DIGICEL INTERNET,,,*99#,web,0,,
362690,,DIGICEL INTERNET,,,*99#,web,0,,
358110,,Lime Prepaid Internet,,,*99#,ppinternet,0,,
356110,,Lime Prepaid Internet,,,*99#,ppinternet,0,,
354860,,Lime Prepaid Internet,,,*99#,ppinternet,0,,
352110,,Lime Prepaid Internet,,,*99#,ppinternet,0,,
348770,,DIGICEL INTERNET,,,*99#,web,0,,
348170,,Lime Prepaid Internet,,,*99#,ppinternet,0,,
346140,,Lime Prepaid Internet,,,*99#,ppinternet,0,,
344920,,Lime Prepaid Internet,,,*99#,ppinternet,0,,
340020,,DIGICEL INTERNET,,,*99#,web,0,,
338180,,Lime Prepaid Internet,,,*99#,ppinternet,0,,
338070,,Banda Ancha,,,*99#,ba.amx,2,,
338070,,Claro Web,amx,amx,*99#,ba.amx,2,,
338050,,DIGICEL INTERNET,,,*99#,web,0,,
338050,,DIGICEL,,,*99#,web,0,,
334020,,Telcel 3G,,,*99#,ba.amx,1,,
330110,,Internet Claro,,,*99#,ba.amx,0,,
310260,,TMO-Data,,,*99***1#,epc.tmobile.com,1,,
310260,,TMO-Data_LTE,,,*99***1#,fast.t-mobile.com,1,,
302720,,Rogers HSPA,,,*99#,internet.com,0,,
302720,,Rogers LTE,,,*99#,lteinternet.apn,0,,
302660,,MTS,,,*99#,internet.mts,0,,
302610,,Bell,,,*99***1#,inet.bell.ca,0,,
302500,,Videotron LTE,,,*99#,ihvm.ng,0,,
302500,,Videotron,,,*99#,ihvm.videotron,0,,
302490,,WIND Mobile,,,*99#,broadband.windmobile.ca,0,,
302320,,Mobilicity,,,*99#,internet.davewireless.com,0,,
302270,,Eastlink Internet,,,*99#,wisp.mobi.eastlink.ca,0,,
302220,,TELUS ISP,,,*99#,isp.telus.com,0,,
302220,,TELUS VPN,,,*99#,vpn.telus.com,0,,
74810,,Claro LTE 4G,ctigprs,ctigprs999,*99#,ba.amx,2,,
74807,,Movistar UY LTE 4G,movistar,movistar,*99#,apnumt.movistar.com.uy,0,,
74801,,Banda Ancha Movil LET 4G 1,,,*99#,gprs.ancel,2,,
74801,,Banda Ancha Movil LET 4G 2,,,*99#,adslmovil,2,,
74801,,Banda Ancha Movil LET 4G 3,bam,bam,*99#,prepago.ancel,2,,
74603,,DIGICEL INTERNET,,,*99#,web,0,,
74405,,INTERNET PERSONAL,personal,personal,*99#,internetba,2,,
74404,,Tigo LTE 4G,tigo,tigo,*99#,broadband.tigo.py,2,,
74402,,Claro LTE 4G,ctigprs,ctigprs999,*99#,ba.amx,2,,
74401,,VOX LTE 4G,vox,vox,*99#,vox.internet,2,,
74001,,Banda Ancha Móvil,,,*99#,internet.ono.com,2,,
74000,,movistar,,,*99#,navega.movistar.ec,2,,
73801,,DIGICEL INTERNET,,,*99#,web,0,,
73603,,TIGO Internet,,,*99#,internet.tigo.bo,2,,
73602,,ENTEL 4G,,,*99#,4g.entel,0,,
73602,,ENTEL 2G,,,*99#,int.movil.com.bo,0,,
73601,,VIVA Internet,,,*99#,3g.nuevatel.com,2,,
73406,,Movilnet,,,*99#,int.movilnet.com.ve,2,,
73404,,movistar INTERNET,,,*99#,internet.movistar.ve,2,,
73401,,Digitel 412,,,*99#,gprsweb.digitel.ve,2,,
73010,,Entel PCS,entelpcs,entelpcs,*99#,imovil.entelpcs.cl,2,,
73009,,Nextel,,,*99#,datacard.nextelmovil.cl,2,,
73008,,vtr,,,*99#,broadband.wireless.vtr.net,2,,
73007,,virginmobile,virginmobile,virginmobile,*99#,bam.virginmobile.cl,2,,
73007,,GTDMovil,webgtd,webgtd,*99#,web.gtdmovil.cl,2,,
73003,,Claro Prepago,clarochile,clarochile,*99#,bap.clarochile.cl,1,,
73003,,Claro Postpago,clarochile,clarochile,*99#,bam.clarochile.cl,2,,
73002,,Movistar,web,web,*99#,web.tmovil.cl,2,,
73001,,Entel PCS,entelpcs,entelpcs,*99#,imovil.entelpcs.cl,2,,
72439,,Nextel 3G Dados,,,*99#,datacard.nextel3G.net.br,0,,
72434,,CTBC 3G,ctbc,1212,*99#,ctbc.br,2,,
72433,,CTBC 3G,ctbc,1212,*99#,ctbc.br,2,,
72432,,CTBC 3G,ctbc,1212,*99#,ctbc.br,2,,
72431,,Oi Velox,,,*99***1#,gprs.oi.com.br,2,,
72424,,Oi Velox,,,*99***1#,gprs.oi.com.br,2,,
72423,,Vivo Internet,vivo,vivo,*99#,zap.vivo.com.br,1,,
72416,,Oi Velox,,,*99***1#,gprs.oi.com.br,2,,
72416,,BrT Modem,brt,brt,*99#,brt.br,2,,
72416,,brt,brt,brt,*99#,brt.br,2,,
72411,,Vivo Internet,vivo,vivo,*99#,zap.vivo.com.br,1,,
72410,,Vivo Internet,vivo,vivo,*99#,zap.vivo.com.br,1,,
72408,,TIM Connect FAST,tim,tim,*99***1#,timbrasil.br,2,,
72406,,Vivo Internet,vivo,vivo,*99#,zap.vivo.com.br,1,,
72405,,Claro Dados,claro,claro,*99***1#,bandalarga.claro.com.br,2,,
72404,,TIM Connect FAST,tim,tim,*99***1#,timbrasil.br,2,,
72403,,TIM Connect FAST,tim,tim,*99***1#,timbrasil.br,2,,
72402,,TIM Connect FAST,tim,tim,*99***1#,timbrasil.br,2,,
72234,,Personal Internet Movil,internet,internet,*99#,internet.personal.com,2,,
72207,,Movistar LTE 4G,internet,internet,*99#,internet,0,,
71617,,Nextel,,,*99#,datacard.nextel.com.pe,2,,
71610,,CLARO DATOS,amx,amx,*99#,ba.amx,2,,
71606,,movistar INTERNET,movistar@datos,movistar,*99#,movistar.pe,1,,
71404,,Digicelpanama,,,*99#,web.digicelpanama.com,1,,
71204,,Movistar Internet,movistarcr,movistarcr,*99#,internet.movistar.cr,0,,
71203,,Internet CLARO,,,*99#,BA.AMX,0,,
71202,,Internet and streaming,,,*99#,kolbi3g,0,,
71201,,Internet and streaming,,,*99#,kolbi3g,0,,
71073,,Internet CLARO,,,*99#,BA.AMX,2,,
71030,,Movistar INTERNET,movistarni,movistarni,*99#,internet.movistar.ni,0,,
71021,,Internet CLARO,,,*99#,BA.AMX,2,,
70802,,BROADBAND TIGO HN,,,*99#,broadband.tigo.hn,0,,
70604,,Movistar INTERNET,movistarsv,movistarsv,*99#,internet.movistar.sv,0,,
70603,,BROADBAND TIGO SV,,,*99#,Broadband.tigo.sv,0,,
70602,,DIGICEL INTERNET,,,*99#,web.digicelsv.com,0,,
70601,,Internet CLARO,,,*99#,BA.AMX,2,,
70403,,Movistar INTERNET,movistargt,movistargt,*99#,internet.movistar.gt,0,,
70402,,BROADBAND TIGO GT,,,*99#,broadband.tigo.gt,0,,
70401,,Internet CLARO,,,*99#,BA.AMX,2,,
65510,,MTN Data,MTN,MTN,*99#,myMTN,1,,
65507,,Cell C,,,*99#,internet,2,,
65502,,8.ta,,,*99#,internet,2,,
65501,,Vodacom,,,*99#,internet,2,,
65201,,Mascom Internet,,,*99#,internet.mascom,2,,
65201,,beMOBILE,,,*99#,internet.be,2,,
65010,,ACL,,,#777,,2,,
64901,,Netman Prepaid,ppsuser,ppsuser,*99#,ppsinternet,2,,
64901,,Netman Postpaid,,,*99#,internet,2,,
64804,,Econet,,,*99#,econet.net,2,,
64710,,SFR Reunion,,,*99#,websfr,2,,
64710,,SFR Modem,,,*99#,websfr,0,,
64700,,Business Everywhere,orange,orange,*99#,orangerun,2,,
64700,,Internet Everywhere,orange,orange,*99#,orangerun,2,,
64502,,MTN ZAMBIA,,,*99#,Internet,2,,
64501,,Celtel Internet,,,*99#,internet,2,,
64301,,mcel-netmóvel turbo pré-pago,,,*99#,pre.mcel.mz,2,,
64301,,mcel-netmovel turbo post-paid,,,*99#,isp.mcel.mz,2,,
64228,,LEO Burundi,,,*99#,ucnet,0,,
64122,,Warid mobile internet,,,*99#,web.waridtel.co.ug,2,,
64114,,Orange,,,*99#,orange.ug,0,,
64111,,UT 3G connect,,,*99#,utbroadband,2,,
64111,,UT 3G connect 3g,,,*99#,utwap.3g,2,,
64111,,UT 3G connect web,,,*99#,utweb,2,,
64110,,MTN Mobile Internet,,,*99#,yellopix.mtn.co.ug,2,,
64101,,Airtel,,,*99#,web.ug.airtel.com,0,,
64005,,Zain TZ,,,*99#,internet,2,,
64004,,Vodacom TZ,,,*99***1#,internet,2,,
64002,,Tigo-Tigo,,,*99#,tigo,2,,
63907,,Internet Everywhere 3G+,orangefixedplus,orange,#777,,2,,
63903,,ZAIN KENYA,,,*99#,ke.celtel.com,2,,
63902,,Safaricom,saf,data,*99#,safaricom,2,,
63611,,ETC,etc,etc,#777,etc.com,0,,
63601,,ETC,,,*99#,etc.com,0,,
63511,,Rwandatel,,,*99#,CLOSED,0,,
63510,,MTN Rwanda,,,*99#,internet.mtn,2,,
63407,,Sudani internet,sudani,sudani,*99#,sudaninet,0,,
63402,,MTN Prepaid,,,*99#,internet,2,,
63402,,MTN Postpaid,,,*99#,internet1,2,,
63401,,Zain Connect,,,*99#,internet,0,,
63310,,Airtel,,,*99#,internet.sl.airtel.com,2,,
63089,,Tigo,,,*99#,Tigo.web,0,,
63086,,CCT,,,*99#,cct.com,0,,
63005,,Standard telecom,stelecom,777,#777,,0,,
63002,,Airtel RDC,,,*99#,internet,0,,
63001,,Vodacom,,,*99#,vodanet,0,,
62910,,MTN,,,*99#,internet.mtn.cg,0,,
62907,,Warid,,,*99#,web.waridtel.cg,0,,
62903,,Congo Telecom BZV,Phonenumber@congotelecom3apn.cg,123456,#777,,0,,
62903,,Congo Telecom PN,Phonenumber@congotelecom3aoyo.cg,123456,#777,,0,,
62902,,Azur,,,*99#,internet,0,,
62901,,Airtel,,,*99#,internet.cg.zain.com,0,,
62803,,Zain Internet Mobile,,,*99#,internet.ga.celtel.com,2,,
62402,,Orange,orange,orange,*99#,orangecmgprs,0,,
62401,,MTN,,,*99#,mtnwap,2,,
62203,,Tigo internet,,,*99#,net.millicom.com,0,,
62160,,Etisalat,,,*99#,etisalat,0,,
62150,,Globacom,flat,flat,*99#,gloflat,0,,
62130,,MTN,web,web,*99#,gprs.mtnnigeria.net,0,,
62120,,Airtel,internet,internet,*99#,internet.ng.airtel.com,0,,
62006,,Airtel,,,*99#,internet,0,,
62003,,Tigo,,,*99#,web.tigo.com.gh,0,,
62002,,Vodafone,,,*99#,browse,0,,
62001,,MTN,,,*99#,internet,0,,
61710,,Emtel,,,*99#,web,2,,
61205,,MTN,,,*99#,web.mtn.ci,0,,
61203,,Orange,web,web,*99#,orangeciweb,1,,
61202,,Moov,web,web,*99#,moov,0,,
61101,,MTN Guinea,,,*99#,internet,2,,
61001,,Internet 3G+,internet,internet,*99#,web.malitel3.ml,1,,
60910,,mauritel,,,*99#,web.mauritel,2,,
60902,,chinguitel,chinguitel,chinguitel,#777,,2,,
60803,,Expresso,expresso,expresso,*99#,expresso,0,,
60802,,Tigo,,,*99#,web.sentel.com,0,,
60801,,Orange SN,internet,internet,*99#,internet,0,,
60503,,Ooredoo TN Internet,,,*99#,internet.ooredoo.tn,0,,
60502,,Tunisie Telecom,,,*99#,internet.tn,2,,
60501,,Orange,,,*99#,orange,0,,
60501,,Internet Everywhere forfait,,,*99#,keypro,1,,
60501,,Internet Everywhere prepaye,,,*99#,keygp,1,,
60501,,Internet EveryWhere Premium,,,*99#,keybusiness,1,,
60501,,Internet EveryWhere Business,,,*99#,keypremium,1,,
60405,,Par default,wana,wana,#777,,0,,
60401,,3G IAM,,,*99#,www.iamgprs1.ma,0,,
60400,,Internet Méditel,MEDINET,MEDINET,*99#,internet1.meditel.ma,1,,
60303,,ooredoo,,,*99#,internet,2,,
60302,,Djezzy connect,,,*99#,djezzy.internet,1,,
60301,,Mobilis Internet,internet,internet,*99#,internet,1,,
60203,,Etisalat Internet,,,*99#,internet.etisalat,2,,
60202,,Vodafone EG,internet,internet,*99#,internet.vodafone.net,1,,
60201,,Mobinil,,,*99#,mobinilweb,2,,
53024,,2degrees Internet,,,*99#,internet,2,,
53005,,TelecomData,,,*99#,wap.telecom.co.nz,2,,
53001,,Vodafone NZ,,,*99#,Vodafone,2,,
52811,,dst.internet,,,*99#,dst.internet,2,,
52802,,bmobilewap,,,*99#,bmobilewap,2,,
52505,,StarHub,,,*99#,shinternet,2,,
52505,,MaxMobile Prepaid,,,*99#,shppd,2,,
52503,,M1,,,*99#,sunsurf,2,,
52503,,M1 (prepaid),65,user123,*99#,prepaidbb,2,,
52501,,SingTel,,,*99#,internet,2,,
52501,,hicard,,,*99#,hicard,2,,
52099,,TRUE,,,*99#,internet,2,,
52018,,dtac internet,,,*99#,www.dtac.co.th,2,,
52015,,TOT,,,*99#,internet,1,,
52005,,dtac internet,,,*99#,www.dtac.co.th,2,,
52004,,TRUE-H,TRUE,TRUE,*99#,internet,1,,
52003,,AIS Internet,,,*99#,internet,2,,
52001,,AIS Internet,,,*99#,internet,2,,
52000,,TRUE-H,TRUE,TRUE,*99#,internet,1,,
51505,,Sun Internet,,,*99#,minternet,1,,
51505,,Sun Broadband Standard,,,*99#,fbband,1,,
51503,,Smart Bro,,,*99#,SMARTBRO,1,,
51503,,SMART internet,,,*99#,internet,1,,
51502,,Globe Tattoo Broadband - Postpaid,,,*99***1#,internet.globe.com.ph,2,,
51502,,Globe Tattoo Broadband - Prepaid,,,*99***1#,http.globe.com.ph,2,,
51089,,3,3data,3data,*99#,3data,2,,
51021,,Indosat Internet,,,*99#,indosatgprs,2,,
51021,,indosat,,,*99#,indosat,2,,
51011,,XL Unlimited,,,*99#,xlunlimited,2,,
51011,,XL HotRod,,,*99#,www.xlgprs.net,2,,
51010,,Telkomsel volume based,,,*99#,internet,2,,
51008,,AXIS,axis,123456,*99#,AXIS,2,,
51001,,Indosat Internet,,,*99#,indosatgprs,2,,
51001,,indosat,,,*99#,indosat,2,,
50503,,Vodafone AU,,,*99#,live.vodafone.com,3,,
50502,,Optus 2G/3G prepaid,,,*99#,preconnect,2,,
50502,,Optus 2G/3G postpaid,,,*99#,connectme,2,,
50502,,Optus 2G/3G postpaid or LTE,,,*99#,connect,2,,
50502,,Optus 2G/3G business,,,*99#,yesbusiness,2,,
50502,,Optus 2G/3G BYO,,,*99#,connectcap,2,,
50501,,Telstra.Internet,,,*99#,telstra.internet,3,,
50219,,Celcom 3G Internet,,,*99#,celcom3g,2,,
50218,,U Mobile Internet,,,*99#,my3g,2,,
50216,,DiGi Internet 3G,,,*99#,3gdgnet,2,,
50216,,DiGi Internet,,,*99#,diginet,2,,
50212,,Postpaid,maxis,wap,*99#,maxisbb,2,,
50212,,Prepaid,maxis,wap,*99#,bbnet,2,,
50212,,Maxis 3G Internet,maxis,wap,*99#,unet,2,,
50211,,TELEKOM,,,*99#,Telekom 4G,2,,
50210,,DiGi Internet 3G,,,*99#,3gdgnet,2,,
50210,,DiGi Internet,,,*99#,diginet,2,,
47202,,Wataniya Maldives,,,*99#,WataniyaNet,2,,
47007,,Airtel,,,*99#,internet,0,,
47004,,Teletalk,,,*99#,wap,0,,
47003,,Banglalink,,,*99#,blweb,0,,
47002,,Robi,,,*99#,internet,0,,
47001,,GP-INTERNET,,,*99#,gpinternet,0,,
46697,,台湾大哥大,,,*99#,internet,2,,
46692,,中華電信,,,*99#,internet,2,,
46689,,威寶電信 (VIBO-internet),,,*99#,internet,2,,
46689,,威寶電信 (VIBO),,,*99#,vibo,2,,
46689,,威寶電信 (VIBOONE),,,*99#,viboone,2,,
46601,,遠傳電信,,,*99#,fetims,2,,
46011,,中国电信互联网设置CTNET,,,#777,ctnet,0,,
46008,,中国移动apn1,,,*99#,cmnet,2,,
46008,,中国移动apn2,,,*99#,,2,,
46007,,中国移动apn1,,,*99#,cmnet,2,,
46007,,中国移动apn2,,,*99#,,2,,
46003,,中国电信互联网设置CTNET,ctnet@mycdma.com,vnet.mobi,#777,,0,,
46002,,中国移动apn1,,,*99#,cmnet,2,,
46002,,中国移动apn2,,,*99#,,2,,
46001,,Unicom,,,*99#,3gnet,2,,
46000,,中国移动apn1,,,*99#,cmnet,2,,
46000,,中国移动apn2,,,*99#,,2,,
45708,,Beeline Laos,,,*99#,beelinenet,2,,
45703,,Unitel,,,*99#,unitel3G,2,,
45702,,ETL,,,*99#,etlnet,2,,
45701,,LTC,,,*99#,ltcnet,2,,
45618,,Mfone,,,*99#,mfone,2,,
